name,lat,lon
1,60.20387,24.89858
2,60.17921,24.8279
3,60.22519,24.82135
4,60.22511,24.81924
5,60.22201,24.75589
6,60.2226,24.81628
7,60.2672,24.84929
8,60.2767,24.84723
9,60.29093,24.94632
10,60.29904,24.97412
11,60.1757,24.95677
12,60.16612,24.9325
13,60.1685,24.93297
14,60.16687,24.92595
15,60.171,24.92537
16,60.22662,24.95481
17,60.19281,25.02931
18,60.1688,24.93307
19,60.15408,24.87891
20,60.23477,25.07331
21,60.23729,25.07489
22,60.27259,25.10483
23,60.29293,25.04645
24,60.24836,25.03124
25,60.17205,24.80844
26,60.165,24.93255
27,60.15444,24.91142
28,60.15801,24.90885
29,60.21655,24.8734
30,60.21277,25.1507
31,60.30828,24.97231
32,60.14155,24.66923
33,60.16035,24.646
34,60.16433,24.62296
35,60.29338,25.01139
36,60.29081,25.03564
37,60.20608,25.1457
38,60.21047,25.10043
39,60.30372,24.97436
40,60.15971,24.74221
41,60.24175,24.88536
42,60.16691,24.93474
43,60.17404,24.92048
44,60.17426,24.8254
45,60.22528,24.76541
46,60.31631,25.03866
47,60.33491,25.01787
48,60.34933,25.08573
49,60.20607,24.66761
50,60.16256,24.62527
51,60.15103,24.63775
52,60.23019,24.89667
53,60.30828,24.97231
54,60.29875,25.06814
55,60.24595,25.11293
56,60.29992,25.06756
57,60.24624,24.71059
58,60.30372,24.97436
59,60.34499,25.06548
